pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,travel_time_s,travel_time_ms
1,5.0,0.0,10.0,0.0,5.0,0.009389658165949003,9.389658165949003
2,5.0,0.0,14.0,0.0,9.0,0.016901384698708204,16.901384698708203
3,5.0,0.0,18.0,0.0,13.0,0.024413111231467405,24.413111231467404
4,5.0,0.0,22.0,0.0,17.0,0.0319248377642266,31.924837764226602
5,5.0,0.0,26.0,0.0,21.0,0.03943656429698581,39.436564296985814
6,5.0,0.0,30.0,0.0,25.0,0.04694829082974501,46.94829082974501
7,5.0,0.0,34.0,0.0,29.0,0.05446001736250421,54.4600173625042
8,5.0,0.0,38.0,0.0,33.0,0.061971743895263415,61.971743895263415
9,5.0,0.0,42.0,0.0,37.0,0.06948347042802262,69.48347042802263
10,5.0,0.0,46.0,0.0,41.0,0.07699519696078182,76.99519696078181
11,5.0,0.0,50.0,0.0,45.0,0.08450692349354103,84.50692349354102
12,5.0,0.0,54.0,0.0,49.0,0.09201865002630022,92.01865002630022
13,5.0,0.0,58.0,0.0,53.0,0.09810713851224778,98.10713851224779
14,5.0,0.0,62.0,0.0,57.0,0.09845037547823848,98.45037547823848
15,5.0,0.0,66.0,0.0,61.0,0.09571895986307499,95.71895986307499
16,5.0,0.0,70.0,0.0,65.0,0.09583186804304047,95.83186804304047
17,5.0,0.0,74.0,0.0,69.0,0.0984985816927478,98.4985816927478
18,5.0,0.0,78.0,0.0,73.0,0.10172796447521183,101.72796447521183
19,5.0,0.0,82.0,0.0,77.0,0.10612403348249402,106.12403348249403
20,5.0,0.0,86.0,0.0,81.0,0.11071808915520999,110.71808915521
21,5.0,0.0,90.0,0.0,85.0,0.11414857310554952,114.14857310554952
22,5.0,0.0,94.0,0.0,89.0,0.12018606387606698,120.18606387606698
23,5.0,0.0,98.0,0.0,93.0,0.12448196221000778,124.48196221000778
24,5.0,0.0,102.0,0.0,97.0,0.13055962586437178,130.55962586437178
25,5.0,0.0,106.0,0.0,101.0,0.1358112314396876,135.8112314396876
26,5.0,0.0,110.0,0.0,105.0,0.14254194670981504,142.54194670981505
27,5.0,0.0,114.0,0.0,109.0,0.14745888733059587,147.45888733059587
28,5.0,0.0,118.0,0.0,113.0,0.15292303755219272,152.9230375521927
29,25.0,0.0,2.0,0.0,23.0,0.043192427563365415,43.19242756336541
30,25.0,0.0,6.0,0.0,19.0,0.03568070103060621,35.68070103060621
31,25.0,0.0,10.0,0.0,15.0,0.028168974497847006,28.168974497847007
32,25.0,0.0,14.0,0.0,11.0,0.020657247965087805,20.657247965087805
33,25.0,0.0,18.0,0.0,7.0,0.013145521432328604,13.145521432328604
34,25.0,0.0,30.0,0.0,5.0,0.009389658165949003,9.389658165949003
35,25.0,0.0,34.0,0.0,9.0,0.016901384698708208,16.901384698708206
36,25.0,0.0,38.0,0.0,13.0,0.024413111231467405,24.413111231467404
37,25.0,0.0,42.0,0.0,17.0,0.0319248377642266,31.924837764226602
38,25.0,0.0,46.0,0.0,21.0,0.039436564296985804,39.43656429698581
39,25.0,0.0,50.0,0.0,25.0,0.04694829082974501,46.94829082974501
40,25.0,0.0,54.0,0.0,29.0,0.05446001736250421,54.4600173625042
41,25.0,0.0,58.0,0.0,33.0,0.06197174389526341,61.97174389526341
42,25.0,0.0,62.0,0.0,37.0,0.06948347042802261,69.48347042802261
43,25.0,0.0,66.0,0.0,41.0,0.0761310435394235,76.1310435394235
44,25.0,0.0,70.0,0.0,45.0,0.07849317846439499,78.49317846439499
45,25.0,0.0,74.0,0.0,49.0,0.081478169716923,81.47816971692299
46,25.0,0.0,78.0,0.0,53.0,0.08403006336165278,84.03006336165278
47,25.0,0.0,82.0,0.0,57.0,0.0877207043801517,87.7207043801517
48,25.0,0.0,86.0,0.0,61.0,0.09068228900637915,90.68228900637915
49,25.0,0.0,90.0,0.0,65.0,0.09474150936787346,94.74150936787346
50,25.0,0.0,94.0,0.0,69.0,0.10009810951118978,100.09810951118978
