pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,linear_travel_time_s,linear_travel_time_ms,noise_ms,observed_travel_time_ms,observed_travel_time_s,predicted_travel_time_ms,travel_time_residual_ms
1,5.0,0.0,10.0,0.0,5.0,0.009389658165949,9.389658165949,-1.3599399938659764,8.029718172083022,0.008029718172083,9.704595481103969,-1.6748773090209461
2,5.0,0.0,14.0,0.0,9.0,0.0169013846987082,16.901384698708213,0.8945360792562351,17.795920777964447,0.0177959207779644,17.445449755048987,0.3504710229154604
3,5.0,0.0,18.0,0.0,13.0,0.0244131112314674,24.413111231467408,0.3509080817419299,24.76401931320934,0.0247640193132093,25.108592199860453,-0.34457288665111463
4,5.0,0.0,22.0,0.0,17.0,0.0319248377642265,31.924837764226595,1.2170465533083246,33.14188431753492,0.0331418843175349,32.74818204610676,0.39370227142815395
5,5.0,0.0,26.0,0.0,21.0,0.0394365642969858,39.43656429698581,1.3732218149011186,40.80978611188693,0.0408097861118869,40.08332348523676,0.7264626266501679
6,5.0,0.0,30.0,0.0,25.0,0.046948290829745,46.948290829745005,-1.1391112477587937,45.80917958198621,0.0458091795819862,47.09412167426518,-1.2849420922789747
7,5.0,0.0,34.0,0.0,29.0,0.0544600173625042,54.46001736250421,-0.0835572023928792,54.37646016011133,0.0543764601601113,54.4654759257922,-0.08901576568086966
8,5.0,0.0,38.0,0.0,33.0,0.0619717438952634,61.9717438952634,1.0567801966696382,63.02852409193304,0.063028524091933,62.0680427284581,0.9604813634749405
9,5.0,0.0,42.0,0.0,37.0,0.0694834704280226,69.48347042802263,0.009695688348544,69.49316611637117,0.0694931661163711,69.56343240855952,-0.07026629218835012
10,5.0,0.0,46.0,0.0,41.0,0.0769951969607818,76.9951969607818,0.2817941819791874,77.27699114276099,0.0772769911427609,76.68308827261687,0.5939028701441202
11,5.0,0.0,50.0,0.0,45.0,0.084506923493541,84.50692349354102,-1.8508428290401315,82.65608066450089,0.0826560806645008,82.70737271258045,-0.051292048079560004
12,5.0,0.0,54.0,0.0,49.0,0.0920186500263002,92.01865002630022,-0.8031411219540984,91.21550890434612,0.0912155089043461,89.34153020163353,1.8739787027125914
13,5.0,0.0,58.0,0.0,53.0,0.0983057298676168,98.30572986761686,0.02543222040636,98.33116208802322,0.0983311620880232,94.39495375902615,3.9362083289970684
14,5.0,0.0,62.0,0.0,57.0,0.0984725771012463,98.47257710124636,0.7809141534284986,99.25349125467486,0.0992534912546748,97.3316228827299,1.921868371944953
15,5.0,0.0,66.0,0.0,61.0,0.096280681586429,96.28068158642908,-0.3207834715298708,95.95989811489922,0.0959598981148992,98.25174288056779,-2.2918447656685714
16,5.0,0.0,70.0,0.0,65.0,0.0959891115443872,95.9891115443872,-0.1065151389645674,95.88259640542265,0.0958825964054226,97.6579223655817,-1.7753259601590514
17,5.0,0.0,74.0,0.0,69.0,0.0984123725576368,98.4123725576368,-0.1824949168432315,98.22987764079356,0.0982298776407935,99.12501424212172,-0.8951366013281614
18,5.0,0.0,78.0,0.0,73.0,0.1014960090393013,101.49600903930138,-0.8224337798546515,100.67357525944674,0.1006735752594467,101.52539533150218,-0.8518200720554461
19,5.0,0.0,82.0,0.0,77.0,0.105883353797107,105.88335379710708,0.5420895432745221,106.4254433403816,0.1064254433403816,105.58885034680303,0.8365929935785772
20,5.0,0.0,86.0,0.0,81.0,0.1106937866356216,110.6937866356216,-1.3062332431201646,109.38755339250145,0.1093875533925014,110.05508448115255,-0.6675310886511028
21,5.0,0.0,90.0,0.0,85.0,0.1142809788272811,114.28097882728116,-1.2824793052747745,112.99849952200638,0.1129984995220063,114.28888511302067,-1.2903855910142852
22,5.0,0.0,94.0,0.0,89.0,0.1199184515541651,119.91845155416516,0.3405122763920218,120.25896383055718,0.1202589638305571,119.46902750400457,0.7899363265526063
23,5.0,0.0,98.0,0.0,93.0,0.1246237307626959,124.62373076269596,-1.2858106876270443,123.33792007506892,0.1233379200750689,124.48240446419469,-1.1444843891257648
24,5.0,0.0,102.0,0.0,97.0,0.1305317645959562,130.53176459595628,1.1070560630363604,131.63882065899264,0.1316388206589926,130.6032454663898,1.0355751926028347
25,5.0,0.0,106.0,0.0,101.0,0.1355157907107249,135.5157907107249,0.2647503628458632,135.78054107357076,0.1357805410735707,136.05649021052238,-0.27594913695162404
26,5.0,0.0,110.0,0.0,105.0,0.1424229103328593,142.42291033285937,1.3348679219284036,143.75777825478778,0.1437577782547877,142.21559241355428,1.542185841233504
27,5.0,0.0,114.0,0.0,109.0,0.1473361418229779,147.33614182297796,1.3648279067477036,148.70096972972567,0.1487009697297256,147.2646476373111,1.4363220924145708
28,5.0,0.0,118.0,0.0,113.0,0.1527965591528584,152.79655915285846,0.0520469022164688,152.84860605507492,0.1528486060550749,151.9856854573924,0.8629205976825176
29,25.0,0.0,2.0,0.0,23.0,0.0431924275633654,43.19242756336541,-0.4126433111940156,42.7797842521714,0.0427797842521713,43.82338666522422,-1.0436024130528168
30,25.0,0.0,6.0,0.0,19.0,0.0356807010306062,35.6807010306062,1.1860519882830902,36.86675301888929,0.0368667530188892,36.30273472267574,0.564018296213554
31,25.0,0.0,10.0,0.0,15.0,0.028168974497847,28.16897449784701,0.5449882842196773,28.713962782066687,0.0287139627820666,28.213368555098587,0.5005942269681007
32,25.0,0.0,14.0,0.0,11.0,0.0206572479650878,20.657247965087805,0.8650613287868556,21.52230929387466,0.0215223092938746,20.615364657958498,0.9069446359161617
33,25.0,0.0,18.0,0.0,7.0,0.0131455214323286,13.145521432328604,0.2623910798295395,13.407912512158145,0.0134079125121581,13.113741874378507,0.29417063777963826
