x_m,true_rockhead_depth_m,geophysical_rockhead_depth_m,baseline_interpolated_depth_m,optimized_integrated_depth_m,optimized_integrated_error_m
1.0,18.358557254182134,,18.425664865576664,18.436091858260433,0.07753460407829849
3.0,19.06414743012319,,19.323059304212137,19.333486296895906,0.269338866772717
5.0,19.735535076926123,,20.059624362476132,20.0700513551599,0.33451627823377805
7.0,20.351141305268317,,20.645681832222156,20.656108824905925,0.30496751963760715
9.0,20.891180166138327,,21.09155350530372,21.10198049798749,0.21080033184916402
11.0,21.33829468142132,,21.407561173574337,21.417988166258105,0.07969348483678473
13.0,21.67811490600318,,21.604026628887514,21.614453621571283,-0.06366128443189822
15.0,21.899720181235654,,21.691271663096764,21.701698655780532,-0.19802152545512186
17.0,21.995990899431117,,21.679618068055596,21.690045060739365,-0.30594583869175196
19.0,21.963838786542524,,21.579387635617522,21.589814628301255,-0.37402415824126933
21.0,21.804308835764463,,21.400902157636047,21.41132915031897,-0.3929796854454928
23.0,21.522550492033083,,21.15448342596469,21.164910418627695,-0.3576400734053884
25.0,21.12766039159257,,20.850453232456957,20.86088022463138,-0.26678016696119045
27.0,20.632403781506348,,20.499133368966355,20.5095603491546,-0.12284343235174688
29.0,20.05282652936592,,20.110845627346396,20.121272313483516,0.06844578411759628
31.0,19.407774175450605,,19.695911799450595,19.706331271868034,0.29855709641742934
33.0,18.71833848294747,19.264653677132458,19.264653677132458,19.27489623800258,0.5565577550551097
35.0,18.00725499525886,18.70310147534281,18.70310147534281,18.70903931574947,0.70178432049061
37.0,17.298276675113666,18.152366380446068,18.152366380446068,18.070408873841732,0.772132198728066
39.0,16.615548144783872,17.622830528751077,17.622830528751077,17.175674100949355,0.5601259561654821
41.0,15.983001739194274,17.053596978975296,17.053596978975296,16.518545204162574,0.5355434649683009
43.0,15.423790078932361,16.502786851301913,16.502786851301913,15.963430356025732,0.5396402770933708
45.0,14.95976017439396,15.9321152467678,15.9321152467678,15.392581839944302,0.4328216655503425
47.0,14.610961950065485,15.523292617526725,15.523292617526725,14.983751996983546,0.3727900469180607
49.0,14.395171311283834,15.300115315283492,15.300115315283492,14.760574400689187,0.36540308940535304
51.0,14.327397344639444,15.226117740537807,15.226117740537807,14.686576813957323,0.3591794693178798
53.0,14.419338681414178,15.294038699992084,15.294038699992084,14.754497772923017,0.3351590915088387
55.0,14.678759375543535,15.542371088261794,15.542371088261794,15.00283016117281,0.3240707856292744
57.0,15.108772849203033,15.909756443259194,15.909756443259194,15.370215516169399,0.2614426669663654
59.0,15.707054264560615,16.432420564312228,16.432420564312228,15.8928796372224,0.18582537266178534
61.0,16.465044296511614,16.968908427589497,16.968908427589497,16.42936750049967,-0.035676796011944845
63.0,17.36725374941495,17.772552458480057,17.772552458480057,17.23301153139024,-0.13424221802470981
65.0,18.39081808815712,18.845557406856997,18.845557406856997,18.30601647976758,-0.08480160838953665
67.0,19.505471104249988,20.051821197989334,20.051821197989334,19.512280270914594,0.006809166664606181
69.0,20.67409606294943,21.134400377879444,21.134400377879444,20.594859451341858,-0.07923661160757334
71.0,21.85396397616184,22.10490799962724,22.10490799962724,21.565367092748453,-0.28859688341338696
73.0,22.99868331632552,23.272473869654288,23.272473869654288,22.732933682251982,-0.26574963407353636
75.0,24.060774385794563,,23.27155111542667,22.73203725827309,-1.3287371275214745
77.0,24.99466433426615,,23.265091835833363,22.726539854319867,-2.268124479946284
79.0,25.75980025433455,,23.247559505508665,22.741995281327785,-3.017804973006765
81.0,26.323521976899315,,23.21341759908688,23.0574630257574,-3.2660589511419147
83.0,26.663340052219908,,23.157129591202324,23.15120168598953,-3.512138366230378
85.0,26.76833244775228,,23.07315895648929,23.072995234397386,-3.695337213354893
87.0,26.639495591261515,,22.955969169582094,22.95596469476433,-3.683530896497185
89.0,26.28903847639607,,22.800023705115038,22.800023582845373,-3.4890148935506957
91.0,25.738761999239433,,22.599786037722424,22.599786034381562,-3.1389759648578703
93.0,25.017788867975057,,22.34971964203856,22.349719641947278,-2.6680692260277787
95.0,24.15997922843529,,22.044287992697758,22.044287992695264,-2.1156912357400266
97.0,23.201373390275542,,21.677954564334314,21.677954564334247,-1.5234188259412953
99.0,22.177950154250976,,21.24518283158254,21.245182831582536,-0.9327673226684396
101.0,21.123894054910217,,20.74043626907674,20.74043626907674,-0.3834577858334782
103.0,20.070451331015732,,20.158178351451216,20.158178351451216,0.08772702043548364
105.0,19.045347279445824,,19.492872553340277,19.492872553340277,0.4475252738944526
107.0,18.07265636021429,,18.738982349378233,18.738982349378233,0.6663259891639441
109.0,17.17297172794546,,17.890971214199382,17.890971214199382,0.7179994862539232
111.0,16.363713837955814,,16.943302622438033,16.943302622438033,0.579588784482219
113.0,15.659441487952332,,15.89044004872849,15.89044004872849,0.23099856077615755
115.0,15.07207144659233,,14.72684696770506,14.72684696770506,-0.34522447888727115
117.0,14.610961950065485,,13.446986854002049,13.446986854002049,-1.163975096063437
119.0,14.282860039085463,,12.045323182253764,12.045323182253764,-2.2375368568316993
