x_m,true_rockhead_depth_m,estimated_rockhead_depth_m,rockhead_error_m,valid_estimate
1.0,18.358557254182134,,,False
3.0,19.06414743012319,,,False
5.0,19.735535076926123,,,False
7.0,20.351141305268317,,,False
9.0,20.891180166138327,,,False
11.0,21.33829468142132,,,False
13.0,21.67811490600318,,,False
15.0,21.899720181235654,,,False
17.0,21.995990899431117,,,False
19.0,21.963838786542524,,,False
21.0,21.804308835764463,,,False
23.0,21.522550492033083,,,False
25.0,21.12766039159257,,,False
27.0,20.632403781506348,,,False
29.0,20.05282652936592,,,False
31.0,19.407774175450605,,,False
33.0,18.71833848294747,19.264653677132458,0.546315194184988,True
35.0,18.00725499525886,18.703101475342812,0.6958464800839508,True
37.0,17.298276675113666,18.152366380446068,0.8540897053324024,True
39.0,16.615548144783872,17.622830528751077,1.0072823839672047,True
41.0,15.983001739194274,17.053596978975296,1.0705952397810226,True
43.0,15.423790078932361,16.502786851301913,1.0789967723695515,True
45.0,14.95976017439396,15.932115246767799,0.9723550723738388,True
47.0,14.610961950065485,15.523292617526723,0.9123306674612373,True
49.0,14.395171311283834,15.300115315283492,0.9049440039996579,True
51.0,14.327397344639444,15.226117740537807,0.8987203958983638,True
53.0,14.419338681414178,15.294038699992084,0.8747000185779061,True
55.0,14.678759375543535,15.542371088261794,0.8636117127182583,True
57.0,15.108772849203033,15.909756443259194,0.8009835940561612,True
59.0,15.707054264560615,16.432420564312228,0.725366299751613,True
61.0,16.465044296511614,16.968908427589497,0.5038641310778829,True
63.0,17.36725374941495,17.772552458480057,0.40529870906510723,True
65.0,18.39081808815712,18.845557406856994,0.4547393186998754,True
67.0,19.505471104249988,20.051821197989334,0.5463500937393455,True
69.0,20.67409606294943,21.134400377879444,0.46030431493001345,True
71.0,21.85396397616184,22.10490799962724,0.2509440234654008,True
73.0,22.99868331632552,23.272473869654288,0.27379055332876945,True
75.0,24.060774385794563,,,False
77.0,24.99466433426615,,,False
79.0,25.75980025433455,,,False
81.0,26.323521976899315,,,False
83.0,26.663340052219908,,,False
85.0,26.76833244775228,,,False
87.0,26.639495591261515,,,False
89.0,26.28903847639607,,,False
91.0,25.738761999239433,,,False
93.0,25.017788867975057,,,False
95.0,24.15997922843529,,,False
97.0,23.201373390275542,,,False
99.0,22.177950154250976,,,False
101.0,21.123894054910217,,,False
103.0,20.070451331015732,,,False
105.0,19.045347279445824,,,False
107.0,18.07265636021429,,,False
109.0,17.17297172794546,,,False
111.0,16.363713837955814,,,False
113.0,15.659441487952332,,,False
115.0,15.07207144659233,,,False
117.0,14.610961950065485,,,False
119.0,14.282860039085463,,,False
